#DeltaTime, Location Error, Velocity Error
/InverseX
7.40316e-12, 0.235413, 1.37998e+06
7.38393e-12, 0.234801, 1.37639e+06
7.36481e-12, 0.234193, 1.37283e+06
7.34577e-12, 0.233588, 1.36928e+06
7.32684e-12, 0.232986, 1.36575e+06
7.30801e-12, 0.232387, 1.36224e+06
7.28927e-12, 0.231791, 1.35875e+06
7.27063e-12, 0.231198, 1.35527e+06
7.25208e-12, 0.230608, 1.35182e+06
7.23363e-12, 0.230022, 1.34838e+06
7.21527e-12, 0.229438, 1.34496e+06
7.197e-12, 0.228857, 1.34155e+06
7.17883e-12, 0.228279, 1.33816e+06
7.16074e-12, 0.227704, 1.33479e+06
7.14275e-12, 0.227132, 1.33144e+06
7.12485e-12, 0.226562, 1.3281e+06
7.10704e-12, 0.225996, 1.32478e+06
7.08931e-12, 0.225432, 1.32148e+06
7.07168e-12, 0.224872, 1.31819e+06
7.05413e-12, 0.224314, 1.31492e+06
7.03667e-12, 0.223758, 1.31167e+06
7.0193e-12, 0.223206, 1.30843e+06
7.00201e-12, 0.222656, 1.30521e+06
6.9848e-12, 0.222109, 1.302e+06
6.96768e-12, 0.221565, 1.29881e+06
6.95065e-12, 0.221023, 1.29563e+06
6.93369e-12, 0.220484, 1.29247e+06
6.91682e-12, 0.219947, 1.28933e+06
6.90004e-12, 0.219413, 1.2862e+06
6.88333e-12, 0.218882, 1.28309e+06
6.8667e-12, 0.218353, 1.27999e+06
6.85016e-12, 0.217827, 1.2769e+06
6.83369e-12, 0.217304, 1.27384e+06
6.8173e-12, 0.216782, 1.27078e+06
6.80099e-12, 0.216264, 1.26774e+06
6.78476e-12, 0.215748, 1.26472e+06
6.76861e-12, 0.215234, 1.2617e+06
6.75253e-12, 0.214723, 1.25871e+06
6.73653e-12, 0.214214, 1.25573e+06
6.7206e-12, 0.213707, 1.25276e+06
6.70475e-12, 0.213203, 1.2498e+06
6.68898e-12, 0.212702, 1.24686e+06
6.67327e-12, 0.212202, 1.24394e+06
