#DeltaTime, Location Error, Velocity Error
/InverseX
1.57235e-13, 3.45204e-06, 3035.65
1.56684e-13, 3.43993e-06, 3025
1.56136e-13, 3.4279e-06, 3014.42
1.55592e-13, 3.41595e-06, 3003.92
1.55052e-13, 3.40409e-06, 2993.49
1.54515e-13, 3.39232e-06, 2983.13
1.53982e-13, 3.38062e-06, 2972.84
1.53453e-13, 3.369e-06, 2962.63
1.52928e-13, 3.35746e-06, 2952.48
1.52406e-13, 3.34601e-06, 2942.41
1.51887e-13, 3.33463e-06, 2932.4
1.51372e-13, 3.32332e-06, 2922.46
1.50861e-13, 3.31209e-06, 2912.59
1.50353e-13, 3.30094e-06, 2902.78
1.49848e-13, 3.28987e-06, 2893.04
1.49347e-13, 3.27886e-06, 2883.37
1.48849e-13, 3.26793e-06, 2873.76
1.48355e-13, 3.25708e-06, 2864.21
1.47864e-13, 3.24629e-06, 2854.73
1.47376e-13, 3.23558e-06, 2845.3
1.46891e-13, 3.22494e-06, 2835.95
1.46409e-13, 3.21436e-06, 2826.65
1.45931e-13, 3.20386e-06, 2817.41
1.45455e-13, 3.19342e-06, 2808.24
1.44983e-13, 3.18306e-06, 2799.12
1.44514e-13, 3.17276e-06, 2790.06
1.44048e-13, 3.16252e-06, 2781.06
1.43585e-13, 3.15235e-06, 2772.12
1.43124e-13, 3.14225e-06, 2763.23
1.42667e-13, 3.13221e-06, 2754.41
1.42213e-13, 3.12224e-06, 2745.64
1.41761e-13, 3.11232e-06, 2736.92
1.41313e-13, 3.10248e-06, 2728.26
1.40867e-13, 3.09269e-06, 2719.65
1.40424e-13, 3.08296e-06, 2711.1
1.39984e-13, 3.0733e-06, 2702.6
1.39546e-13, 3.0637e-06, 2694.16
1.39112e-13, 3.05415e-06, 2685.77
1.3868e-13, 3.04467e-06, 2677.43
1.3825e-13, 3.03524e-06, 2669.14
1.37824e-13, 3.02587e-06, 2660.9
1.37399e-13, 3.01656e-06, 2652.71
1.36978e-13, 3.00731e-06, 2644.58
1.36559e-13, 2.99811e-06, 2636.49
1.36143e-13, 2.98897e-06, 2628.45
1.35729e-13, 2.97989e-06, 2620.46
1.35318e-13, 2.97086e-06, 2612.52
1.34909e-13, 2.96188e-06, 2604.63
1.34503e-13, 2.95296e-06, 2596.78
1.34099e-13, 2.9441e-06, 2588.99
1.33697e-13, 2.93528e-06, 2581.24
1.33298e-13, 2.92652e-06, 2573.53
1.32901e-13, 2.91781e-06, 2565.87
1.32507e-13, 2.90915e-06, 2558.26
1.32115e-13, 2.90055e-06, 2550.69
1.31725e-13, 2.89199e-06, 2543.17
1.31338e-13, 2.88348e-06, 2535.69
1.30953e-13, 2.87503e-06, 2528.25
1.3057e-13, 2.86662e-06, 2520.86
1.30189e-13, 2.85826e-06, 2513.51
1.29811e-13, 2.84996e-06, 2506.2
1.29434e-13, 2.8417e-06, 2498.94
1.2906e-13, 2.83348e-06, 2491.72
1.28688e-13, 2.82532e-06, 2484.54
1.28318e-13, 2.8172e-06, 2477.4
1.27951e-13, 2.80913e-06, 2470.3
1.27585e-13, 2.8011e-06, 2463.24
1.27222e-13, 2.79312e-06, 2456.23
1.2686e-13, 2.78519e-06, 2449.25
1.26501e-13, 2.7773e-06, 2442.31
1.26144e-13, 2.76945e-06, 2435.41
1.25788e-13, 2.76165e-06, 2428.55
1.25435e-13, 2.75389e-06, 2421.73
1.25084e-13, 2.74618e-06, 2414.95
1.24734e-13, 2.73851e-06, 2408.2
1.24387e-13, 2.73088e-06, 2401.49
1.24041e-13, 2.72329e-06, 2394.82
1.23698e-13, 2.71575e-06, 2388.19
1.23356e-13, 2.70825e-06, 2381.59
1.23016e-13, 2.70079e-06, 2375.03
1.22678e-13, 2.69337e-06, 2368.51
1.22342e-13, 2.68599e-06, 2362.02
1.22008e-13, 2.67865e-06, 2355.57
1.21675e-13, 2.67135e-06, 2349.15
1.21345e-13, 2.66409e-06, 2342.77
1.21016e-13, 2.65687e-06, 2336.42
1.20689e-13, 2.64969e-06, 2330.1
1.20363e-13, 2.64255e-06, 2323.82
1.2004e-13, 2.63545e-06, 2317.58
1.19718e-13, 2.62838e-06, 2311.36
1.19398e-13, 2.62136e-06, 2305.18
1.1908e-13, 2.61437e-06, 2299.04
1.18763e-13, 2.60741e-06, 2292.92
1.18448e-13, 2.6005e-06, 2286.84
1.18134e-13, 2.59362e-06, 2280.79
1.17823e-13, 2.58677e-06, 2274.77
1.17513e-13, 2.57997e-06, 2268.79
1.17204e-13, 2.5732e-06, 2262.83
1.16897e-13, 2.56646e-06, 2256.91
1.16592e-13, 2.55976e-06, 2251.02
1.16289e-13, 2.55309e-06, 2245.16
1.15987e-13, 2.54646e-06, 2239.32
1.15686e-13, 2.53987e-06, 2233.52
1.15387e-13, 2.5333e-06, 2227.75
1.1509e-13, 2.52677e-06, 2222.01
1.14794e-13, 2.52028e-06, 2216.3
1.145e-13, 2.51382e-06, 2210.62
1.14207e-13, 2.50739e-06, 2204.96
1.13915e-13, 2.50099e-06, 2199.34
1.13626e-13, 2.49463e-06, 2193.74
1.13337e-13, 2.4883e-06, 2188.17
1.1305e-13, 2.482e-06, 2182.64
1.12765e-13, 2.47573e-06, 2177.12
